mal_id,title,issue
1863,Silk Road Shounen Yuuto,Missing Score
2701,Little Susie and Marvy,Missing Score
2708,Wankorobee,Missing Score
2742,Full-Blast Science Adventure: So That's How It Is!,Missing Score
2930,Tensai? Dr. Hamax,Missing Score
3073,Robby & Kerobby,Missing Score
3243,Elec-king The Animation,Missing Score
3372,RGB Adventure,Missing Score
3414,Hula Kappa,Missing Score
3500,"Yume Miru, Anime: On-chan",Missing Score
3575,Sguy and the Family Stone the Movie,Missing Score
3828,Maegami Tarou,Missing Score
3973,Ikuze! Gen-san,Missing Score
4417,Hennako-chan,Missing Score
4544,Wanghu Sim Cheong,Missing Score
4547,RoboDz,Missing Score
4621,The Olympic Challenge,Missing Score
4684,Scarecrowman,Missing Score
5184,Negibouzu no Asatarou,Missing Score
5374,Miracle! Mimika,Missing Score
5468,Yattokame Tanteidan,Missing Score
5594,Fuusen no Doratarou,Missing Score
5841,Yume wo Kanaeru Zou,Missing Score
6018,Patchin shite! Obaachan,Missing Score
6063,Penguin no Mondai Movie,Missing Score
6206,La Vilaine LuLu,Missing Score
6273,A Drop of Dew: Shouji Ueda's Photographs that Woke the World,Missing Score
6528,Utsurun desu.,Missing Score
6687,Chinyuuki: Tarou to Yukai na Nakama-tachi,Missing Score
7177,Gokyoudai Monogatari,Missing Score
7189,Table Cat,Missing Score
7211,Rose O'Neill Kewpie,Missing Score
7419,Wrestler Gundan Seisenshi Robin Jr.,Missing Score
7473,Rennyo and His Mother,Missing Score
7495,Nonki na Tousan Ryuuguu Mairi,Missing Score
7500,Maabou no Shounen Koukuu Tsuwamono,Missing Score
7505,Knyacki!,Missing Score
7525,Kick Off (2002),Missing Score
7526,The King's Tail,Missing Score
7527,Ponsuke no Udekurabe,Missing Score
7531,Onbu Obake,Missing Score
7629,The Arari Show,Missing Score
7639,Shounen Santa no Daibouken!,Missing Score
7646,Yawarakame♥,Missing Score
7715,Auto Mommy,Missing Score
7803,Question Fairy,Missing Score
7856,Children of the Shadows,Missing Score
7982,Tetsuro no Kanata,Missing Score
8143,Sockies: Frontier Quest,Missing Score
8179,Eagle Sam,Missing Score
8191,Hoshi Shinichi Short Short,Missing Score
8192,Hoshi Shinichi Short Short Special,Missing Score
8205,Norabbits' Minutes,Missing Score
8229,"On-chan, Dream Power Big Adventure!",Missing Score
8243,Mizuki Shigeru no Toono Monogatari,Missing Score
8244,Keshikasu-kun,Missing Score
8258,Damen's Walker,Missing Score
8345,Ukkari Pénélope,Missing Score
8346,Ukkari Pénélope OVA,Missing Score
8353,Ketsuinu,Missing Score
8478,Doubutsu Kankyou Kaigi,Missing Score
8501,Chibikko Kaijuu Yadamon,Missing Score
8521,Biriken Nandemo Shoukai,Missing Score
8522,Midoriyama Koukou Koushien-hen (Movie),Missing Score
8567,Home Alone,Missing Score
8595,Kotencotenco,Missing Score
8670,Pozzie,Missing Score
8685,Ryuuichi Manga Gekijou Onbu Obake,Missing Score
8749,Forestry,Missing Score
8879,Dolphin Ouji,Missing Score
8955,Senjutsu Choukoukaku Orion,Missing Score
8959,Nanchatte!,Missing Score
9334,Mecha Afro-kun,Missing Score
9351,Life is Cool,Missing Score
9371,Karl to Fushigi na Tou,Missing Score
9404,Figures of Happiness,Missing Score
9533,Pururun! Shizuku-chan Aha,Missing Score
